section,english,shipped,final,source,confidence,future_review,flags
Rain,"Grab your brolly, boet.","Thatha isambreli sakho, boet.","Thatha iambrela yakho, bhuti.",A,HIGH,False,
Rain,The garden's saying dankie at last.,Igadi ithi ekugqibeleni enkosi.,Igadi ithi enkosi ekugqibeleni.,B,LOW,True,
Rain,The potholes are becoming swimming pools.,Imingxunya iba ziipuli zokuqubha.,Imingxuma endleleni ijika ibe ngamadama okuqubha.,A,HIGH,False,
Rain,Joburg drivers are panicking already.,Abaqhubi baseJohanesburg sele beyoyika.,Abaqhubi baseJoburg sele beqalile ukuphakuzela.,A,HIGH,False,
Rain,The dams are doing a happy dance.,Amadama enza umdaniso ovuyayo.,Amadama enza umdaniso wolonwabo.,A,HIGH,False,
Rain,The N1 is now a waterpark.,I-N1 ngoku yi-waterpark.,uN1 yi paki yamanzi ngoku.,B,LOW,True,possible typos (unattested): ['paki']
Rain,"Good soup weather, not gonna lie.",Imozulu elungele isuphu.,"Imozulu elungele isuphu, andizuxoka.",A,HIGH,False,re-picked: B semantic slip (isepha=soap)
Rain,Someone's braai just got ruined.,Ukugrila komntu kusanda konakala.,iBraai yomntu isando konakala.,B,LOW,True,B unattested: ['isando']
Rain,Rain so heavy it should pay rent.,Imvula enzima kufanele ihlawule irenti.,Imvula inetha ngamandla kangangokuba kufanele ihlawule irenti.,A,HIGH,False,
Rain,Everyone's forgotten how to drive. Again.,Bonke balibele ukuqhuba. Kwakhona.,Bonke balibele ukuba kuqhutywa njani. Kwakhona.,B,LOW,True,"possible typos (unattested): ['kuqhutywa', 'njani']"
Rain,The umbrella broke on the first gust. Classic.,Isambreli saphuke ngomoya wokuqala. Okwesiqhelo.,Iambrela yophuke nje kwakuvuthuza umoya wokuqala. Okwesiqhelo.,A,HIGH,False,
Rain,Wet socks. The ultimate betrayal.,Iikawusi ezimanzi. Ukukreqwa okukhulu.,Iikawusi ezimanzi. Olona kungcatshwa lukhulu.,A,HIGH,False,
Rain,At least the garden's happy. Someone has to be.,Ubuncinane igadi iyavuya. Umntu kufuneka avuye.,Noko igadi iyavuya. Umntu angavuya.,B,LOW,True,B unattested: ['angavuya']
Rain,Your suede shoes chose today? Bold.,Izihlangu zakho zesuede zikhethe namhlanje? Isibindi.,Izihlangu zakho zesuede zikhethe namhlanje? Sisibindi eso.,A,HIGH,False,
Rain,Somewhere an umbrella just turned inside out. Moment of silence.,Ndaweni ithile isambreli sisanda kuguquka ngaphakathi. Umzuzu wokuthi cwaka.,Kwenye indawo iambrela isand’ ukujikwa ngumoya ngaphakathi ngaphandle. Umzuzu wokuthi cwaka.,A,HIGH,False,
Rain,Every taxi on the road has decided to freestyle.,Yonke itekisi endleleni ikhethe ukudlala ngokukhululekileyo.,Yonke iteksi endleleni igqibe kwelokuba izenzele umthetho wayo.,A,HIGH,False,
Rain,"Yes, it's raining sideways. South Africa speciality.","Ewe, imvula iyana ngecala. Eyodwa yaseMzantsi Afrika.","Ewe, imvula ina ngecala. Yinto eqhelekileyo yaseMzantsi Afrika.",A,HIGH,False,
Rain,Forgot your jacket? The universe noticed.,Ulibele ibhatyi yakho? Indalo iqaphele.,Uyilibele ibhatyi yakho? Indalo iphela ikuqaphele oko.,A,HIGH,False,
Rain,The dog is staring at the rain like it's a personal insult.,Inja ijonge imvula ngathi yinto yobuqu.,Inja ijonga imvula ngathi iyithuka buqu.,A,HIGH,False,
Possible rain (showers),"Maybe rain, maybe not. Classic.","Mhlawumbi imvula, mhlawumbi hayi. Okwesiqhelo.","Mhlawumbi iza kuna, mhlawumbi hayi. Into eqhelekileyo leyo.",A,HIGH,False,
Possible rain (showers),Clouds looking proper suspicious.,Amafu abonakala erhanela ngokwenene.,Amafu akhangeleka erhaneleka nyhani.,A,HIGH,False,
Possible rain (showers),"Take a brolly just in case, hey.","Thatha isambreli ukuba kunokwenzeka, hey.","Phatha isambreli nje xa kunokwenzeka, hey.",A,HIGH,False,
Possible rain (showers),Don't trust those clouds. They're plotting.,Musa ukuwathemba lawo mafu. Ayaceba.,Sukuwathemba loo-mafu. Ayadibana.,B,LOW,True,"B unattested: ['sukuwathemba', 'loo-mafu', 'ayadibana']"
Possible rain (showers),Weather's being more indecisive than you at Spur.,Imozulu ayikwazi ukuzigqiba njengawe eSpur.,Imozulu ayikwazi kuzenzela sigqibo ngakumbi kunawe eSpur.,A,HIGH,False,
Possible rain (showers),The sky can't make up its mind. Join the club.,Isibhakabhaka asikwazi ukuzigqiba. Joyina iklabhu.,Isibhakabhaka asikwazi ukwenza isigqibo. Wamkelekile eklabhini,A,HIGH,False,
Possible rain (showers),Forecast says maybe. We say probably.,Isibikezelo sithi mhlawumbi. Sithi mhlawumbi.,Isibikezelo sithi mhlawumbi. Thina sithi kusenokwenzeka,A,HIGH,False,
Possible rain (showers),Bring a jacket. Or sunscreen. Or both.,Zisa ijekithi. Okanye isithinteli selanga. Okanye zombini.,Yiza nesilamba. Okanye iSunscreen. Okanye zombini.,B,MED,True,B typos: ['nesilamba']
Possible rain (showers),The sky's giving mixed signals again.,Isibhakabhaka siphinda sinika imiqondiso exubileyo.,Isibhakabhaka siphinda sithumele imiqondiso exubeneyo.,A,HIGH,False,
Possible rain (showers),Schrodinger's rain. It both is and isn't.,Imvula kaSchrödinger. Iyakho futhi ayikho.,Imvula kaSchrödinger — ikhona kodwa kwangaxeshanye ayikho,A,HIGH,False,
Possible rain (showers),The washing's on the line and you're feeling brave.,Impahla yokuhlamba isemthayeni kwaye uziva unesibindi.,Impahla yonekwe ecingweni yaye uziva unesbindi.,B,LOW,True,"possible typos (unattested): ['yonekwe', 'ecingweni', 'unesbindi']"
Possible rain (showers),Even the weather apps are arguing about this one.,Kwanee-app zemozulu ziyaxabana ngale nto.,Nokuba nee-app zemozulu ziyaphikisana ngale meko,A,HIGH,False,
Possible rain (showers),Somewhere between fine and soaked. Good luck.,Phakathi kokuhle nokuba manzi. Inyhani enhle.,Phakathi kobamhle nokuba manzi. Unqweno omhle.,B,LOW,True,"B unattested: ['kobamhle', 'unqweno']"
Possible rain (showers),The clouds are just vibing. No promises.,Amafu akhona nje. Akukho zithembiso.,Amafu azihambela nje. Akukho zithembiso namhlanje,A,HIGH,False,
Possible rain (showers),Trust issues with the sky today.,Iingxaki zokuthemba isibhakabhaka namhlanje.,Namhlanje isibhakabhaka asinakuthembeka.,A,HIGH,False,
Overcast / cloudy,The sky's giving absolutely nothing.,Isibhakabhaka asiniki nto.,Isibhakabhaka asiniki kwanto tu.,A,HIGH,False,
Overcast / cloudy,Overcast but we'll survive.,Linamafu kodwa siya kuphila.,Kunamafu kodwa siza kuphila.,A,HIGH,False,
Overcast / cloudy,"Good day for a walk, bad day for a tan.","Imini entle yokuhamba, embi yokutshisa.","Lusuku oluhle lokuhamba, kodwa alulungelanga ukutshisa.",A,HIGH,False,
Overcast / cloudy,The sun's bunking today.,Ilanga liyabaleka namhlanje.,Ilanga alibonakali namhlanje.,A,HIGH,False,
Overcast / cloudy,"Moody weather. Same, honestly.",Imozulu ezithwele. Njengam.,Imozulu iyatshintsha-tshintsha. Nam ke kunjalo.,A,HIGH,False,
Overcast / cloudy,"Not bad, not great. Like a 6/10 date.","Ayimbi, ayintle. Njengedethi ye-6/10.","Ayikho mbi, ayikho ntle. Njeng date ye6/10",B,LOW,True,"possible typos (unattested): ['ntle', 'njeng', 'date']"
Overcast / cloudy,Perfect weather for a Woolies run and Netflix.,Imozulu elungele uWoolies neNetflix.,Imozulu efanelekileyo yokuya eWoolies nokubukela iNetflix.,A,HIGH,False,
Overcast / cloudy,Eskom-friendly weather. No solar today.,Imozulu elungele i-Eskom. Akukho solar.,Imozulu ye-Eskom. Ayikho i-solar namhlanje.,A,HIGH,False,
Overcast / cloudy,It is what it is.,Kuyiloo nto iyiyo.,Kunjalo nje.,A,HIGH,False,
Overcast / cloudy,The sun's on a tea break. No ETA.,Ilanga lisekhefu letiye. Akukho ETA.,Ilanga lithathe ikhefu leti. Akukho mntu waziyo ukuba libuya nini.,A,HIGH,False,
Overcast / cloudy,Not depressing. Just... underwhelming.,Ayidakumbi. Nje... ayihlabi umxhwele.,Ayidakumbisi. Kodwa... ayinamdla tu.,A,HIGH,False,
Overcast / cloudy,A hoodie and an attitude. That's today.,I-hoodie nesimilo. Namhlanje kunje.,Namhlanje yi-hoodie nesimo sengqondo nje.,A,HIGH,False,
Overcast / cloudy,Could be worse. Could also be better.,Kunokuba kubi kakhulu. Kunokuba bhetele futhi.,Bekunokuba kubi ngakumbi. Bekunokuba bhetele nayo.,A,HIGH,False,
Overcast / cloudy,The sky's giving 'I'll try again tomorrow' energy.,Isibhakabhaka sinika 'ndiya kuzama ngomso' amandla.,Isibhakabhaka sinika loo vibe ka “ndiza kuphinda ndizame ngomso.”,A,HIGH,False,
Overcast / cloudy,"Good enough weather. Not great, not terrible.","Imozulu eyaneleyo. Ayinkulu, ayimbi.","Imozulu ilungile ngokwaneleyo. Ayintle kakhulu, ayimbi kakhulu.",A,HIGH,False,
Overcast / cloudy,Nobody's posting this sunset on Instagram.,Akukho mntu uza kuposta oku kwi-Instagram.,Akukho mntu uza kuposta le sunset kwi-Instagram.,A,HIGH,False,
Overcast / cloudy,The clouds are here but they're not doing anything.,Amafu akho kodwa awenzi nto.,"Amafu akhona, kodwa akukho nto ayenzayo.",A,HIGH,False,
Overcast / cloudy,Not Instagram weather. Not the end of the world.,Ayiyomozulu ye-Instagram. Ayikokuphela kwehlabathi.,Ayiyomozulu ye-Instagram. Ayisosiphelo sehlabathi.,A,HIGH,False,
Overcast / cloudy,The sun sent an out-of-office reply.,Ilanga lithumele i-out-of-office.,Ilanga lithumele impendulo ka out-of-office,B,LOW,True,possible typos (unattested): ['out-of-office']
Overcast / cloudy,At least it's not raining. That's the bar.,Ubuncinane ayimvula. Yilonto kuphela.,Noko akunethi. Yilonto qha.,B,LOW,True,B unattested: ['akunethi']
Overcast / cloudy,Perfect weather for existing without enthusiasm.,Imozulu elungele ukuphila ngaphandle kwentshisekelo.,Imozulu efanele ukuphila ngaphandle komdla.,A,HIGH,False,
Overcast / cloudy,The clouds are committed to being average.,Amafu azibophelele ekubeni phakathi naphakathi.,Amafu azimisele ngokuba phakathi nendawo nje.,A,HIGH,False,
Overcast / cloudy,The sky picked a vibe and the vibe is shrug.,Isibhakabhaka sikhethe i-vibe kwaye i-vibe kukunyusa amagxa.,"Isibhakabhaka sikhethe i-vibe, kwaye loo vibe kukuziphakamisa amagxa nje",A,HIGH,False,
Overcast / cloudy,Cloud cover with a side of who-cares.,Amafu nelinye icala lokuba ngubani onomdla.,"Amafu agqume isibhakabhaka, ehamba nomoya wokungakhathali.",A,HIGH,False,
Overcast / cloudy,A perfectly average sky doing perfectly average things.,Isibhakabhaka esiphakathi esenza izinto eziphakathi.,Isibhakabhaka esiqhelekileyo sisenza izinto eziqhelekileyo nje.,A,HIGH,False,
Overcast / cloudy,The clouds RSVP'd 'maybe' and showed up anyway.,Amafu aphendule athi 'mhlawumbi' aze nje.,"Amafu aphendule athi “mhlawumbi,” kodwa avele afika kunjalo.",A,HIGH,False,
Overcast / cloudy,"Forecast: vibes neutral, expectations lower.","Isibikezelo: ii-vibes ezingenamfuneko, indlela eziphantsi.","Uqikelelo: ii-vibes eziphakathi, ulindeleko lusezantsi.",B,LOW,True,B unattested: ['ulindeleko']
Overcast / cloudy,The sun is technically present. Spiritually elsewhere.,Ilanga ngokwasemthethweni likho. Ngokomoya likwenye indawo.,Ilanga likhona ngokwasemthethweni. Kodwa ngomoya likwenye indawo.,A,HIGH,False,
Strong sun (high UV),"Sunscreen is not optional, boet.","Ikhrimu yelanga ayinakukhethwa, boet.","Ikhrimu yelanga ayisosikhetho, boet.",A,HIGH,False,
Strong sun (high UV),The sun's not playing games today.,Ilanga alidlali namhlanje.,Ilanga lidlala imidlalo namhlanje.,B,LOW,True,possible typos (unattested): ['imidlalo']
Strong sun (high UV),You will look like a lobster. You've been warned.,Uya kubonakala njenge-lobster. Ulumkisiwe.,Uza kubomvu njenge-lobster. Ulumkisiwe.,A,HIGH,False,
Strong sun (high UV),Protect that face! It's the only one you've got.,Khusela elo buso! Lelinye kuphela onalo.,Khusela obo buso! Bubo kuphela onabo.,A,MED,False,
Strong sun (high UV),The ozone layer called. It's on leave.,I-ozone layer ifownile. Iku-leave.,I-ozone layer ifownile — ithathe ileave.,A,HIGH,False,
Strong sun (high UV),Reapply that sunscreen or suffer.,Sebenzisa kwakhona okanye ubandezeleke.,Sebenzisa lo sunscreen okanye kuzakubanzima kuwe.,B,MED,True,B typos: ['kuzakubanzima']
Strong sun (high UV),"Hat, sunnies, sunscreen. Non-negotiable.","Umnqwazi, izipeki, ikhrimu. Akuxoxwa.","iHat, izipeksi, sunscreen. Ayixoxisi.",B,LOW,True,"possible typos (unattested): ['ihat', 'izipeksi', 'ayixoxisi']"
Strong sun (high UV),You could braai a steak on the pavement right now.,Ungagrila isteki epavimentini ngoku.,Unga braai inyama kwi pavement ngalomzuzu.,B,LOW,True,"B unattested: ['unga', 'pavement']"
Strong sun (high UV),Your future self will thank you for that sunscreen.,Wena wakusasa uya kukubulela ngekhrimu yelanga.,Ingomso lakho lakho lizakubulela ngalo sunscreen,B,MED,True,"B typos: ['ingomso', 'lizakubulela']"
Strong sun (high UV),Walking to the car counts as a sun hazard today.,Ukuhamba uye emotweni kubhekwa njengengozi yelanga namhlanje.,Nokuhamba uye emotweni namhlanje kubeka emngciphekweni welanga.,A,HIGH,False,
Strong sun (high UV),Tan lines are not a personality trait.,Imigca yokutshisa ayisiyonto yobuqu.,Izivubeko zokutsha azinasimilo,B,LOW,True,"B unattested: ['izivubeko', 'zokutsha', 'azinasimilo']"
Strong sun (high UV),The back of your neck. You forgot that bit.,Umva wentamo yakho. Ukulibele loo ndawo.,Umva wentamo yakho — loo ndawo uyilibele.,A,HIGH,False,
Strong sun (high UV),Sunscreen budget: higher than your data bill.,Iibhajethi zekhrimu yelanga: ngaphezu kwebhili yakho yedatha.,Ibhajethi yekrimu yelanga: ingaphezulu kwebhili yakho yedatha.,A,HIGH,False,
Strong sun (high UV),Today's forecast: medium rare.,Isibikezelo sanamhlanje: medium rare.,Uqikelelo lwanamhlanje: aluvuthwanga kakuhle,B,LOW,True,"B unattested: ['lwanamhlanje', 'aluvuthwanga']"
Strong sun (high UV),Even the shade is warm. Good luck out there.,Kwanomthunzi ufudumele. Inyhani enhle.,Nditsho nomthunzi lo ushushu. Ndininqwenelela impumelelo phandl’apha,B,LOW,True,"B unattested: ['ndininqwenelela', 'impumelelo', 'phandl’apha']"
Wind,"The southeaster's arrived. Uninvited, as usual.","Umoya wasemzantsi ufikile. Ungamenyanga, njengoko eqhelile.",Umoya wemzantsi mpuma ufikile. Ungamenywanga njengesiqhelo.,B,LOW,True,"possible typos (unattested): ['wemzantsi', 'mpuma']"
Wind,Table Mountain's tablecloth is out.,Ilaphu leTable Mountain liphumile.,Ilaphu lentaba ye tafile liphumile.,B,LOW,True,"possible typos (unattested): ['lentaba', 'tafile']"
Wind,The Cape Doctor is making house calls.,UGqirha waseKapa wenza iindwendwe.,Sizakundwendwelwa ngumoya woGqirha waseKapa.,B,LOW,True,"B unattested: ['sizakundwendwelwa', 'wogqirha']"
Wind,The trees are doing involuntary yoga.,Imithi yenza i-yoga engafunekiyo.,Imithi yenza i-yoga ngenkani.,A,HIGH,False,
Wind,Someone's trampoline is now two streets away.,I-trampoline yomntu ngoku zizitalato ezimbini.,iTrampoline yomntu iphaphathekile ngapha kwezitalato ezimbini.,B,LOW,True,"possible typos (unattested): ['itrampoline', 'iphaphathekile', 'ngapha', 'kwezitalato']"
Wind,Perfect conditions for losing your dignity.,Iimeko ezilungileyo zokulahlekelwa sisidima.,Iimeko ezigqibeleleyo zokulahlekelwa sisidima sakho.,A,HIGH,False,
Wind,Even the seagulls are walking today.,Neenkonjane ziyahamba namhlanje.,Neengabangaba zihamba ngeenyawo namhlanje.,A,HIGH,False,
Wind,The bins are on an adventure again.,Iibhini zikwi-adventure kwakhona.,Iibhini ziphinde zangena kwi-adventure,A,HIGH,False,
Wind,Your washing just moved to the neighbour's yard.,Impahla yakho isanda kukhutshelwa kwiyadhi yommelwane.,Impahla yakho iphaphathekele kwamelwane.,B,LOW,True,"possible typos (unattested): ['iphaphathekele', 'kwamelwane']"
Wind,Sand in places sand should never be.,Intlabathi kwiindawo intlabathi engamele ibe kuzo.,Isanti ikwindawo ebekungafanelakanga ikuzo.,B,LOW,True,"possible typos (unattested): ['isanti', 'ikwindawo', 'ebekungafanelakanga', 'ikuzo']"
Wind,Ponytail holders are doing overtime.,Izibopho zeenwele zisebenza ngokungaphezulu.,Abanamaphondo ezinweleni basebenza i overtime.,B,MED,True,"B typos: ['abanamaphondo', 'ezinweleni', 'basebenza', 'overtime']"
Wind,The braai cover is in the next suburb.,Isigqubuthelo sebraai sisekwisifunda esilandelayo.,Isigqubuthelo se braai sikwingingqi elandelayo.,B,LOW,True,"B unattested: ['sikwingingqi', 'elandelayo']"
Cold,Layer up like you're climbing Sani Pass.,Faka iingubo ezininzi njengokunyuka uSani Pass.,Fumbelo okungathi uzakunyuka intaba ye Sani Pass,B,LOW,True,"B unattested: ['fumbelo', 'okungathi', 'uzakunyuka', 'sani']"
Cold,The heater is your best friend. Your only friend.,I-heater ngumhlobo wakho omkhulu. Owodwa.,"I-heater ngumhlobo wakho omkhulu. Enyanisweni, kuphela kwakhe",A,HIGH,False,
Cold,Even the Capetonians are admitting it's cold.,Nabantu baseCape bayavuma kuyabanda.,Nditsho nabantu baseKapa bayavuma ukuba kuyabanda.,B,LOW,True,possible typos (unattested): ['basekapa']
Cold,This is not what the tourism brochure promised.,Oku akukokuthenjiswa yincwadi yokhenketho.,Le ayisiyiyo into eyathenjiswa yibrochure yezokhenketho,A,HIGH,False,
Cold,The duvet had the right idea this morning.,I-duvet yayinecebo elifanelekileyo ngale ntsasa.,I-duvet ibinombono ongcono kule ntsasa.,A,HIGH,False,
Cold,Three pairs of socks and still not enough.,Amapheya amathathu eekawusi kodwa ayanelanga.,Izibini ezintathu zee kawusi kodwa kunjalo azonelanga.,B,LOW,True,"possible typos (unattested): ['izibini', 'kawusi', 'azonelanga']"
Cold,The car seats are freezing. Everything is freezing.,Izihlalo zemoto ziyaqanda. Yonke into iyaqanda.,Izihlalo zemoto ziyabanda. Yonke into iyabanda.,B,HIGH,False,normalized 'ziyaband.'->'ziyabanda.' (truncated final 'a'; 'iyabanda' attested in B's own same sentence)
Cold,Rooibos consumption just doubled.,Ukusetyenziswa kwerooibos kusanda kuphindaphindeka.,Ukuselwa kwerooibos kuphindaphindeke kabini ngoku.,A,HIGH,False,
Cold,The dog refused to go outside. Fair.,Inja yala ukuphuma. Kulungile.,Nditsho nenja ayivumi ukuphuma phandle. Iyavakala loo nto.,A,HIGH,False,
Cold,The cold front is here and it brought friends.,Amakhaza afikile kwaye azise abahlobo.,Ingqele ifikile yaye ize nabahlobo bayo.,B,LOW,True,"B unattested: ['ingqele', 'nabahlobo', 'bayo']"
Cold,"You're not cold, you're 'lekker koud'. Big difference.","Akubandi, u-'lekker koud'. Umahluko omkhulu.","Awugodoli, u “lekker koud”. Mkhulu umahluko.",B,LOW,True,B unattested: ['awugodoli']
Cold,The kettle is working harder than anyone today.,Iketile isebenza ngamandla kunabo bonke namhlanje.,Iketile isebenza ngaphezu kwakhe wonke umntu namhlanje.,A,MED,False,
Cold,Nobody signed up for this temperature.,Akukho mntu ubhalisele oku kushushu.,Akhomtu ubhalisele le mozulu.,B,LOW,True,B unattested: ['akhomtu']
